Rank,School,District,Title 1,Math,Reading,Science,Math Growth,Reading Growth,Absenteeism,Math Gap,ELA Gap,Final Score,Grade
1,Pauoa Elementary,HON,Yes,72,78,77,80,79,7,23,19,311.9,A+
2,Pearl City Elementary,LEE,Yes,72,66,76,80,68,9,23,37,291.0,A+
3,Palisades Elementary,LEE,No,74,74,81,79,64,7,30,35,290.2,A+
4,Ali‘iōlani Elementary,HON,Yes,64,66,87,85,56,6,27,21,285.1,A+
5,Liholiho Elementary,HON,No,70,78,80,67,60,4,18,21,283.2,A+
6,Kāhala Elementary,HON,No,71,74,87,64,64,6,28,33,278.7,A+
7,Kalihiuka Elementary,HON,Yes,58,64,74,71,68,10,15,32,278.6,A+
7,Mililani Uka Elementary,CEN,No,74,77,81,65,64,5,29,33,278.6,A+
9,Pearl City Highlands Elementary,LEE,No,73,74,86,73,59,6,37,38,278.4,A
10,Noelani Elementary,HON,No,81,78,89,65,54,4,28,30,276.6,A
11,de Silva Elementary,HAW,No,69,78,74,61,67,5,36,28,274.8,A
12,Momilani Elementary,LEE,No,84,83,82,65,59,3,47,46,273.3,A
13,Kapālama Elementary,HON,Yes,53,57,72,63,71,8,6,24,270.7,A-
14,Mililani Mauka Elementary,CEN,No,78,80,85,57,58,6,26,33,270.5,A-
15,Lanikai Elementary,CHAR,No,80,81,83,68,51,14,N/A,N/A,269.3,A-
16,Waikīkī Elementary,HON,No,84,84,97,52,48,7,17,22,269.1,A-
16,Ha‘aheo Elementary,HAW,Yes,49,65,83,65,72,12,40,28,269.1,A-
18,Ka‘elepulu Elementary,WIN,No,83,91,100,56,51,6,N/A,N/A,268.8,A-
19,Kanoelani Elementary,LEE,No,63,67,70,66,66,7,33,37,268.2,B+
20,Kapi‘olani Elementary,HAW,Yes,45,54,56,84,68,20,N/A,N/A,268.0,B+
21,Mānoa Elementary,HON,No,69,76,88,65,59,4,48,40,267.7,B+
22,Makalapa Elementary,CEN,Yes,50,63,71,64,64,8,19,23,265.6,B+
23,Hōkūlani Elementary,HON,No,69,75,87,54,55,4,27,25,262.7,B+
24,Kamali‘i Elementary,MAUI,No,63,63,86,60,67,17,42,34,262.3,B+
25,Ka‘ala Elementary,CEN,Yes,52,60,60,67,71,11,N/A,N/A,261.5,B+
26,Helemano Elementary,CEN,Yes,63,67,80,56,63,8,26,33,260.2,B
27,Shafter Elementary,CEN,No,52,69,79,65,59,8,32,26,259.7,B
28,Kapolei Elementary,LEE,Yes,52,54,56,82,63,13,41,49,258.5,B
29,Red Hill Elementary,CEN,Yes,64,61,72,57,54,9,16,10,257.4,B
30,Mililani ‘Ike Elementary,CEN,No,77,82,85,51,49,2,31,33,255.8,B
31,Nimitz Elementary,CEN,No,63,69,69,61,52,2,31,30,255.3,B
32,Maunawili Elementary,WIN,Yes,66,70,95,52,56,7,29,37,254.8,B
33,Kamiloiki Elementary,HON,No,60,66,85,60,63,11,45,48,254.1,B
34,Koko Head Elementary,HON,No,72,78,81,52,53,12,31,28,254.0,B
35,Holomua Elementary,LEE,No,56,61,69,59,60,8,29,30,253.6,B
36,Waiau Elementary,LEE,Yes,59,60,87,69,51,8,43,42,252.5,B
37,Royal Elementary,HON,Yes,67,61,53,64,63,13,30,42,252.3,B
38,Āliamanu Elementary,CEN,No,59,61,65,67,55,10,32,41,251.2,B
39,Lehua Elementary,LEE,Yes,44,53,67,72,59,7,49,30,250.4,B
40,Moanalua Elementary,CEN,No,60,70,67,56,58,5,34,33,250.3,B-
41,Nu‘uanu Elementary,HON,No,71,76,75,55,56,4,54,37,250.1,B-
42,Kamehameha III Elementary,MAU,Yes,47,57,61,67,68,18,42,45,248.8,B-
43,Ma‘ema‘e Elementary,HON,No,65,73,79,52,54,3,35,38,248.7,B-
44,Konawaena Elementary,HAW,Yes,56,58,63,62,61,16,36,29,248.2,B-
45,Pearl Harbor Kai Elementary,CEN,No,50,61,72,62,66,6,56,46,247.8,B-
45,Haha‘ione Elementary,HON,No,69,74,85,49,50,6,29,34,247.8,B-
47,Enchanted Lake Elementary,WIN,No,57,72,83,48,59,8,37,35,246.1,B-
48,‘Āina Haina Elementary,HON,No,69,74,79,49,57,7,37,39,245.9,B-
49,Kāne‘ohe Elementary,WIN,No,58,68,76,60,54,9,52,45,241.2,B-
50,Pearl Ridge Elementary,CEN,No,73,75,79,49,50,8,40,42,241.0,B-
51,‘Ewa Beach Elementary,LEE,Yes,50,63,61,66,58,10,52,48,240.8,B-
52,‘Āhuimanu Elementary,WIN,Yes,48,63,76,50,60,8,33,42,239.6,B-
53,Ka‘ewai Elementary,HON,Yes,36,38,64,72,64,23,N/A,N/A,239.3,B-
54,Waikele Elementary,LEE,No,54,54,43,70,63,8,57,55,238.6,C+
55,Lanakila Elementary,HON,Yes,56,49,45,58,62,7,28,44,236.7,C+
56,Wheeler Elementary,CEN,Yes,54,59,59,52,51,8,21,27,236.1,C+
56,Keolu Elementary,WIN,Yes,39,49,50,71,53,6,N/A,N/A,236.1,C+
58,Wilson Elementary,HON,No,75,77,84,39,47,2,35,40,236.0,C+
59,Honoka‘a Elementary,HAW,Yes,45,47,50,67,58,19,34,25,235.5,C+
60,Hale‘iwa Elementary,CEN,Yes,49,61,96,39,50,17,4,23,234.4,C+
61,Mokulele Elementary,CEN,No,43,61,59,48,60,8,22,44,233.3,C+
62,Makakilo Elementary,LEE,Yes,51,50,46,67,59,16,49,44,233.0,C+
